"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length"
24463,144,"ATL",2023,24463,100,0.276,0.225,0.306,0.501,0.36,0.363,0.277,1543,5594,90.9,12,2237,89.3,89.66,3093,12174,12286,0.4000000000000057,6.48,112,149,120,148,305,328,299,"-198.3","198.3",,
9011,119,"LAD",2020,9011,100,0.256,0.227,0.276,0.483,0.35,0.362,0.267,523,2042,89.6,14.7,2275,88.7,88.62,999,4055,4956,-0.10000000000000853,6.18,111,154,125,148,302,327,303,"-68.2","68.2",,
8724,135,"SD",2020,8724,100,0.257,0.209,0.291,0.466,0.341,0.357,0.271,506,1972,88.9,11.3,2250,89.1,88.98,910,3828,4896,-0.09999999999999432,6.22,111,153,116,149,299,325,301,"-51.6","51.6",,
9236,144,"ATL",2020,9236,100,0.268,0.215,0.322,0.483,0.355,0.355,0.262,556,2074,89.4,14.6,2207,88.5,88.86,1245,4470,4764,0.4000000000000057,6.49,107,151,121,145,302,321,294,"-69.6","69.6",,
9021,147,"NYY",2020,9021,100,0.247,0.2,0.28,0.447,0.341,0.347,0.258,473,1915,88.8,11.6,2200,88.5,88.69,1024,3919,5102,0.20000000000000284,6.4,108,152,119,147,301,320,288,"-39","39",,
24562,142,"MIN",2019,24562,100,0.27,0.224,0.3,0.494,0.347,0.346,0.262,1547,5732,89.6,14.9,2256,88.5,88.23,2935,11879,12681,-0.29999999999999716,6.02,110,150,115,148,297,323,295,"-159.1","159.1",,
24989,119,"LAD",2023,24989,100,0.257,0.197,0.294,0.455,0.341,0.342,0.257,1422,5523,89,15.3,2256,89,89.31,2920,11628,13358,0.29999999999999716,6.43,112,149,122,148,298,321,297,"-151.4","151.4",,
8683,143,"PHI",2020,8683,100,0.257,0.183,0.299,0.439,0.336,0.342,0.258,500,1948,87.3,13.5,2217,88.4,88.4,1032,4034,4648,0,6.3,108,152,121,146,298,321,289,"-27","27",,
24653,111,"BOS",2018,24653,100,0.268,0.185,0.309,0.453,0.34,0.34,0.262,1509,5623,89.8,12.4,2225,88.9,88.35,2546,11336,13311,-0.6000000000000085,5.99,110,151,114,147,285,318,299,"-177.1","177.1",,
23254,141,"TOR",2021,23254,100,0.266,0.2,0.296,0.466,0.34,0.339,0.261,1455,5476,90.1,13.3,2240,89,89.06,2763,11385,11868,0.09999999999999432,6.3,108,154,118,148,300,325,292,"-127.4","127.4",,
23720,116,"DET",2016,23720,100,0.267,0.171,0.312,0.438,0.33,0.339,0.264,1476,5526,88.8,13,2197,88.9,88.37,2627,11208,12411,-0.5,6.09,108,151,113,146,298,319,291,"-59.1","59.1",,
25306,147,"NYY",2019,25306,100,0.267,0.222,0.306,0.49,0.346,0.338,0.256,1493,5583,89.9,13.5,2261,88.7,88.28,3074,11743,13562,-0.4000000000000057,5.99,109,153,117,148,301,324,292,"-180.4","180.4",,
24710,117,"HOU",2019,24710,100,0.274,0.221,0.296,0.495,0.355,0.338,0.258,1538,5613,88.2,13.3,2237,88.7,88.16,2317,11111,13595,-0.5,5.98,108,151,116,147,293,325,294,"-165.3","165.3",,
25427,111,"BOS",2019,25427,100,0.269,0.197,0.313,0.466,0.338,0.337,0.26,1554,5770,89.7,12.7,2249,88.8,88.44,3030,12186,13237,-0.3999999999999915,6.02,110,151,117,148,289,325,301,"-120.7","120.7",,
24972,133,"OAK",2019,24972,100,0.249,0.199,0.282,0.448,0.327,0.337,0.254,1384,5561,89.3,14.2,2265,88.3,87.92,2814,11313,13659,-0.3999999999999915,5.96,109,153,118,146,299,323,295,"-55.7","55.7",,
24950,144,"ATL",2019,24950,100,0.258,0.195,0.305,0.452,0.332,0.337,0.254,1432,5560,89.1,13.2,2234,89.3,88.98,3169,12026,12922,-0.29999999999999716,6.01,111,153,117,148,302,323,297,"-85.4","85.4",,
24642,120,"WSH",2019,24642,100,0.265,0.19,0.306,0.454,0.336,0.336,0.256,1460,5512,88.2,13.9,2253,88.9,88.66,2545,11296,13341,-0.20000000000000284,6.03,109,150,112,147,300,321,297,"-99","99",,
24733,140,"TEX",2023,24733,100,0.263,0.19,0.31,0.453,0.34,0.336,0.257,1470,5592,89.5,14.1,2250,89.1,89.19,2837,11642,13090,0.10000000000000853,6.41,111,148,119,148,300,328,298,"-143","143",,
24556,117,"HOU",2021,24556,100,0.267,0.177,0.303,0.444,0.336,0.336,0.262,1496,5593,89.1,13.8,2201,88.6,88.6,2346,11145,13409,0,6.32,110,155,120,148,296,325,294,"-132.9","132.9",,
24759,114,"CLE",2017,24759,100,0.263,0.186,0.295,0.449,0.336,0.336,0.26,1449,5511,87.9,12.4,2209,88.3,87.85,2377,11157,13599,-0.3999999999999915,6.02,110,150,111,146,292,317,295,"-59.5","59.5",,
23749,117,"HOU",2017,23749,100,0.282,0.196,0.309,0.478,0.349,0.335,0.268,1581,5611,87.9,12.3,2230,88.3,87.79,2200,10800,12945,-0.5,6.01,109,151,112,147,293,321,291,"-153.9","153.9",,
24980,119,"LAD",2019,24980,100,0.257,0.215,0.291,0.472,0.338,0.335,0.253,1414,5493,89,14.4,2238,88.8,88.6,2820,11326,13654,-0.20000000000000284,6.01,112,152,117,149,301,322,300,"-108.3","108.3",,
23514,142,"MIN",2021,23514,100,0.241,0.182,0.282,0.423,0.318,0.335,0.253,1311,5431,89.5,13,2232,88.9,88.93,2887,11034,12480,0,6.28,110,154,118,148,297,322,296,"20.8","-20.8",,
24123,116,"DET",2017,24123,100,0.258,0.166,0.306,0.424,0.321,0.335,0.265,1435,5556,87.5,12.5,2227,88.5,88.19,2722,11424,12699,-0.29999999999999716,6.08,109,152,113,147,296,321,293,"-9.7","9.7",,
23974,111,"BOS",2021,23974,100,0.261,0.188,0.309,0.449,0.333,0.335,0.256,1434,5495,89.6,13.5,2225,88.8,88.83,3082,11689,12285,0,6.3,110,153,120,147,291,323,299,"-95.9","95.9",,
24347,119,"LAD",2017,24347,100,0.249,0.188,0.293,0.437,0.33,0.334,0.249,1347,5408,88.1,12.2,2217,89.2,88.58,2613,10742,13604,-0.6000000000000085,5.93,111,152,114,148,298,316,297,"-29.4","29.4",,
