last_name,first_name,mlbam_id,retrosheet_id,fangraphs_id
soto,juan,665742,sotoj001,20123
judge,aaron,592450,judga001,15640
freeman,freddie,518692,freef001,5361
judge,aaron,592450,judga001,15640
álvarez,yordan,670541,alvay001,19556
judge,aaron,592450,judga001,15640
acuña,ronald,660670,acunr001,18401
trout,mike,545361,troum001,10155
ohtani,shohei,660271,ohtas001,19755
soto,juan,665742,sotoj001,20123
harper,bryce,547180,harpb003,11579
judge,aaron,592450,judga001,15640
cabrera,miguel,408234,cabrm001,1744
parker,jarrett,592620,parkj002,11624
álvarez,yordan,670541,alvay001,19556
voit,luke,572228,voitl001,14811
ozuna,marcell,542303,ozunm001,10324
seager,corey,608369,seagc001,13624
trout,mike,545361,troum001,10155
ozuna,marcell,542303,ozunm001,10324
martinez,j. d.,502110,martj006,6184
cabrera,miguel,408234,cabrm001,1744
recker,anthony,489232,recka001,4063
betts,mookie,605141,bettm001,13611
ortiz,david,120074,ortid001,745
harper,bryce,547180,harpb003,11579
bellinger,cody,641355,bellc002,15998
acuña,ronald,660670,acunr001,18401
soto,juan,665742,sotoj001,20123
yelich,christian,592885,yelic001,11477
trout,mike,545361,troum001,10155
trout,mike,545361,troum001,10155
ohtani,shohei,660271,ohtas001,19755
trout,mike,545361,troum001,10155
trout,mike,545361,troum001,10155
belt,brandon,474832,beltb001,10264
trout,mike,545361,troum001,10155
tatís,fernando,665487,tatif002,19709
votto,joey,458015,vottj001,4314
seager,corey,608369,seagc001,13624
guerrero,vladimir,665489,guerv002,19611
ortiz,david,120074,ortid001,745
acuña,ronald,660670,acunr001,18401
martinez,j. d.,502110,martj006,6184
freeman,freddie,518692,freef001,5361
kendrick,howie,435062,kendh001,4229
harper,bryce,547180,harpb003,11579
martínez,josé,500874,martj008,7996
judge,aaron,592450,judga001,15640
yelich,christian,592885,yelic001,11477
slater,austin,596103,slata001,16153
votto,joey,458015,vottj001,4314
freeman,freddie,518692,freef001,5361
cruz,nelson,443558,cruzn002,2434
rendon,anthony,543685,renda001,12861
tucker,kyle,663656,tuckk001,18345
stanton,giancarlo,519317,stanm004,4949
grandal,yasmani,518735,grany001,11368
seager,corey,608369,seagc001,13624
stanton,giancarlo,519317,stanm004,4949
betts,mookie,605141,bettm001,13611
álvarez,yordan,670541,alvay001,19556
soto,juan,665742,sotoj001,20123
witt,bobby,677951,wittb002,25764
freeman,freddie,518692,freef001,5361
soto,juan,665742,sotoj001,20123
ohtani,shohei,660271,ohtas001,19755
buxton,byron,621439,buxtb001,14161
betts,mookie,605141,bettm001,13611
tatís,fernando,665487,tatif002,19709
muncy,max,571970,muncm001,13301
smith,will,669257,smitw003,19197
ríos,edwin,621458,riose001,18316
pérez,salvador,521692,peres002,7304
votto,joey,458015,vottj001,4314
freeman,freddie,518692,freef001,5361
trout,mike,545361,troum001,10155
cruz,nelson,443558,cruzn002,2434
springer,george,543807,sprig001,12856
goldschmidt,paul,502671,goldp001,9218
stanton,giancarlo,519317,stanm004,4949
freeman,freddie,518692,freef001,5361
davis,chris,448801,davic003,9272
donaldson,josh,518626,donaj001,5038
turner,justin,457759,turnj001,5235
judge,aaron,592450,judga001,15640
rice,ben,700250,,-1
avila,alex,488671,avila001,7476
soto,juan,665742,sotoj001,20123
hernández,teoscar,606192,hernt002,13066
correa,carlos,621043,corrc001,14162
springer,george,543807,sprig001,12856
tatís,fernando,665487,tatif002,19709
lewis,royce,668904,lewir003,20437
abreu,josé,547989,abrej003,15676
harper,bryce,547180,harpb003,11579
turner,justin,457759,turnj001,5235
mccutchen,andrew,457705,mccua001,9847
schwarber,kyle,656941,schwk001,16478
martinez,j. d.,502110,martj006,6184
votto,joey,458015,vottj001,4314
hoskins,rhys,656555,hoskr001,16472
muncy,max,571970,muncm001,13301
carpenter,matt,572761,carpm002,8090
ríos,edwin,621458,riose001,18316
winker,jesse,608385,winkj002,13590
goldschmidt,paul,502671,goldp001,9218
martinez,j. d.,502110,martj006,6184
goldschmidt,paul,502671,goldp001,9218
álvarez,yordan,670541,alvay001,19556
freeman,freddie,518692,freef001,5361
freeman,freddie,518692,freef001,5361
cruz,nelson,443558,cruzn002,2434
soler,jorge,624585,solej001,14221
goldschmidt,paul,502671,goldp001,9218
myers,wil,571976,myerw001,10047
cruz,nelson,443558,cruzn002,2434
tucker,kyle,663656,tuckk001,18345
martinez,j. d.,502110,martj006,6184
rizzo,anthony,519203,rizza001,3473
murphy,daniel,502517,murpd006,4316
wright,david,431151,wrigd002,3787
trout,mike,545361,troum001,10155
gallo,joey,608336,gallj002,14128
murphy,sean,669221,murps001,19352
jaso,john,444379,jasoj001,5887
stanton,giancarlo,519317,stanm004,4949
wade,lamonte,664774,wadel001,18126
harper,bryce,547180,harpb003,11579
devers,rafael,646240,dever001,17350
devers,rafael,646240,dever001,17350
marchán,rafael,665561,marcr001,21646
ozuna,marcell,542303,ozunm001,10324
judge,aaron,592450,judga001,15640
pearce,steve,456665,pears001,9957
cronenworth,jake,630105,cronj001,18036
seager,corey,608369,seagc001,13624
donaldson,josh,518626,donaj001,5038
olson,matt,621566,olsom001,14344
sánchez,gary,596142,sancg002,11442
olson,matt,621566,olsom001,14344
correa,carlos,621043,corrc001,14162
smith,dominic,642086,smitd008,15653
lemahieu,dj,518934,lemad001,9874
votto,joey,458015,vottj001,4314
harper,bryce,547180,harpb003,11579
acuña,ronald,660670,acunr001,18401
mahtook,mikie,543484,mahtm001,13130
bautista,josé,430832,bautj002,1887
stassi,max,545358,stasm001,10059
rendon,anthony,543685,renda001,12861
donaldson,josh,518626,donaj001,5038
winker,jesse,608385,winkj002,13590
smoak,justin,475253,smoaj001,9054
carpenter,matt,572761,carpm002,8090
trout,mike,545361,troum001,10155
encarnación,edwin,429665,encae001,2151
carpenter,matt,572761,carpm002,8090
morales,kendrys,434778,morak001,8610
álvarez,yordan,670541,alvay001,19556
voit,luke,572228,voitl001,14811
o'neill,tyler,641933,oneit001,15711
wallace,brett,477165,wallb001,8434
olson,matt,621566,olsom001,14344
henderson,gunnar,683002,hendg002,26289
rizzo,anthony,519203,rizza001,3473
donaldson,josh,518626,donaj001,5038
freeman,freddie,518692,freef001,5361
yelich,christian,592885,yelic001,11477
davis,khris,501981,davik003,9112
iglesias,jose,578428,iglej001,10231
seager,corey,608369,seagc001,13624
rooker,brent,667670,rookb001,19627
harper,bryce,547180,harpb003,11579
garver,mitch,641598,garvm001,15161
harper,bryce,547180,harpb003,11579
bryant,kris,592178,bryak001,15429
reynolds,bryan,668804,reynb001,19326
sanó,miguel,593934,sanom001,12164
bell,josh,605137,bellj005,13145
tucker,kyle,663656,tuckk001,18345
belt,brandon,474832,beltb001,10264
d'arnaud,travis,518595,darnt001,7739
altuve,josé,514888,altuj001,5417
machado,manny,592518,machm001,11493
santana,carlos,467793,santc002,2396
sánchez,gary,596142,sancg002,11442
donaldson,josh,518626,donaj001,5038
cruz,nelson,443558,cruzn002,2434
springer,george,543807,sprig001,12856
o'brien,peter,598284,obrip002,13288
goldschmidt,paul,502671,goldp001,9218
díaz,yandy,650490,diazy001,16578
castellanos,nick,592206,castn001,11737
rendon,anthony,543685,renda001,12861
lowe,brandon,664040,loweb001,18882
freese,david,501896,freed001,9549
horwitz,spencer,687462,horws001,26477
marte,ketel,606466,martk001,13613
davis,j. d.,605204,davij006,16219
rizzo,anthony,519203,rizza001,3473
cooper,garrett,643265,coopg002,15279
guerrero,vladimir,665489,guerv002,19611
cruz,nelson,443558,cruzn002,2434
belt,brandon,474832,beltb001,10264
seager,corey,608369,seagc001,13624
turner,trea,607208,turnt001,16252
ohtani,shohei,660271,ohtas001,19755
conforto,michael,624424,confm001,16376
robert,luis,673357,robel002,20043
torrens,luis,620443,torrl001,15905
garver,mitch,641598,garvm001,15161
ohtani,shohei,660271,ohtas001,19755
devers,rafael,646240,dever001,17350
contreras,willson,575929,contw001,11609
ruf,darin,573131,ruf-d001,9929
turner,justin,457759,turnj001,5235
hoskins,rhys,656555,hoskr001,16472
heyward,jason,518792,heywj001,4940
choo,shin-soo,425783,choos001,3174
muncy,max,571970,muncm001,13301
