IDfg,Season,Name,OPS,PA
15640,2022,Aaron Judge,1.111,696
13611,2018,Mookie Betts,1.078,614
10155,2018,Mike Trout,1.088,608
11579,2015,Bryce Harper,1.109,654
10155,2015,Mike Trout,0.991,682
18401,2023,Ronald Acuna Jr.,1.012,735
15640,2017,Aaron Judge,1.049,678
10155,2016,Mike Trout,0.991,681
5038,2015,Josh Donaldson,0.939,711
17678,2019,Alex Bregman,1.015,690
15998,2019,Cody Bellinger,1.035,660
17678,2018,Alex Bregman,0.926,705
10155,2019,Mike Trout,1.083,600
5361,2023,Freddie Freeman,0.976,730
12916,2018,Francisco Lindor,0.871,745
11477,2018,Christian Yelich,1.0,651
13611,2023,Mookie Betts,0.987,693
5417,2017,Jose Altuve,0.957,662
13510,2018,Jose Ramirez,0.939,698
15429,2016,Kris Bryant,0.939,699
13611,2016,Mookie Betts,0.897,730
4314,2015,Joey Votto,1.0,695
9218,2015,Paul Goldschmidt,1.005,695
5417,2016,Jose Altuve,0.928,717
11493,2018,Manny Machado,0.905,709
11493,2022,Manny Machado,0.898,644
9777,2022,Nolan Arenado,0.891,620
16252,2021,Trea Turner,0.911,646
13510,2017,Jose Ramirez,0.957,645
15429,2017,Kris Bryant,0.946,665
9218,2022,Paul Goldschmidt,0.981,651
10155,2017,Mike Trout,1.071,507
12861,2019,Anthony Rendon,1.01,646
20123,2021,Juan Soto,0.999,654
19709,2021,Fernando Tatis Jr.,0.975,546
5038,2016,Josh Donaldson,0.953,700
5417,2022,Jose Altuve,0.921,604
5361,2022,Freddie Freeman,0.918,708
9256,2015,A.J. Pollock,0.865,673
9166,2015,Buster Posey,0.849,623
9166,2016,Buster Posey,0.796,614
11579,2021,Bryce Harper,1.044,599
14344,2023,Matt Olson,0.993,720
9810,2016,Brian Dozier,0.886,691
11493,2015,Manny Machado,0.861,713
11739,2022,J.T. Realmuto,0.82,562
18314,2022,Dansby Swanson,0.776,696
11477,2019,Christian Yelich,1.1,580
19755,2023,Shohei Ohtani,1.066,599
12533,2019,Marcus Semien,0.892,747
4949,2017,Giancarlo Stanton,1.007,692
5361,2016,Freddie Freeman,0.968,693
17350,2019,Rafael Devers,0.916,702
13510,2021,Jose Ramirez,0.893,636
3269,2016,Robinson Cano,0.882,715
16505,2018,Matt Chapman,0.864,616
16252,2022,Trea Turner,0.809,708
12916,2022,Francisco Lindor,0.788,706
19556,2022,Yordan Alvarez,1.019,561
19611,2021,Vladimir Guerrero Jr.,1.002,698
13613,2019,Ketel Marte,0.981,628
19326,2021,Bryan Reynolds,0.912,646
14162,2021,Carlos Correa,0.85,640
11368,2016,Yasmani Grandal,0.816,457
4314,2017,Joey Votto,1.032,707
5343,2021,Brandon Crawford,0.895,549
19950,2022,Andres Gimenez,0.837,557
11205,2016,Adam Eaton,0.79,706
13624,2023,Corey Seager,1.013,536
12856,2019,George Springer,0.974,556
9777,2019,Nolan Arenado,0.962,662
20123,2023,Juan Soto,0.93,708
13611,2022,Mookie Betts,0.873,639
13510,2022,Jose Ramirez,0.869,685
5933,2016,Jean Segura,0.867,694
15429,2015,Kris Bryant,0.858,650
9810,2017,Brian Dozier,0.856,705
12916,2019,Francisco Lindor,0.854,654
9077,2015,Lorenzo Cain,0.838,604
12533,2023,Marcus Semien,0.826,753
10155,2022,Mike Trout,0.999,499
12161,2019,Xander Bogaerts,0.939,698
9777,2016,Nolan Arenado,0.932,696
12564,2019,Trevor Story,0.917,656
9847,2015,Andrew McCutchen,0.889,685
17929,2021,Cedric Mullins II,0.878,675
12533,2021,Marcus Semien,0.873,724
12161,2022,Xander Bogaerts,0.833,631
9077,2018,Lorenzo Cain,0.813,620
6184,2018,J.D. Martinez,1.031,649
12861,2017,Anthony Rendon,0.937,605
9777,2018,Nolan Arenado,0.935,673
13611,2019,Mookie Betts,0.915,706
9785,2016,Kyle Seager,0.859,676
11739,2019,J.T. Realmuto,0.82,593
25764,2023,Bobby Witt Jr.,0.813,694
5275,2015,Francisco Cervelli,0.771,510
2967,2017,Tommy Pham,0.931,530
9874,2019,DJ LeMahieu,0.893,655
12979,2018,Javier Baez,0.881,645
18360,2022,Austin Riley,0.878,693
13110,2015,Yoenis Cespedes,0.87,676
12916,2017,Francisco Lindor,0.842,723
5417,2018,Jose Altuve,0.837,599
9777,2017,Nolan Arenado,0.959,680
10324,2017,Marcell Ozuna,0.924,679
11493,2016,Manny Machado,0.876,696
23697,2022,Julio Rodriguez,0.853,560
11368,2019,Yasmani Grandal,0.848,632
20503,2023,William Contreras,0.825,611
20123,2019,Juan Soto,0.949,659
5235,2017,Justin Turner,0.945,543
12979,2019,Javier Baez,0.847,561
15362,2022,Jeff McNeil,0.836,589
23697,2023,Julio Rodriguez,0.818,714
26288,2022,Adley Rutschman,0.806,470
12916,2023,Francisco Lindor,0.806,687
4940,2015,Jason Heyward,0.797,610
15640,2021,Aaron Judge,0.916,633
12861,2018,Anthony Rendon,0.909,597
16505,2019,Matt Chapman,0.848,670
12984,2016,Jackie Bradley Jr.,0.835,636
12927,2022,Brandon Nimmo,0.8,673
19339,2021,Nicky Lopez,0.744,565
7859,2017,Charlie Blackmon,1.0,725
9218,2017,Paul Goldschmidt,0.966,665
9272,2015,Chris Davis,0.923,670
25878,2023,Corbin Carroll,0.868,645
6195,2016,Ian Kinsler,0.831,679
17678,2022,Alex Bregman,0.82,656
26288,2023,Adley Rutschman,0.809,687
19470,2022,Tommy Edman,0.725,630
1744,2016,Miguel Cabrera,0.956,679
15711,2021,Tyler O'Neill,0.912,537
9166,2021,Buster Posey,0.889,454
8090,2015,Matt Carpenter,0.871,665
11477,2016,Christian Yelich,0.859,659
5417,2021,Jose Altuve,0.839,678
4747,2015,Curtis Granderson,0.821,682
11368,2018,Yasmani Grandal,0.815,518
19352,2022,Sean Murphy,0.759,612
17232,2019,Yoan Moncada,0.915,559
