"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length"
827,665742,"Soto, Juan",2020,827,100,0.351,0.344,0.363,0.695,0.478,0.475,0.332,54,154,92.1,4.2,2155,88.8,89.01,64,299,528,0.20000000000000284,6.4,113,150,120,151,297,324,309,"-25.5","25.5",,
1734,592450,"Judge, Aaron",2024,1734,100,0.306,0.373,0.346,0.679,0.461,0.468,0.296,105,343,96.4,18.4,2294,89.2,89.45,242,740,994,0.20000000000000284,6.51,106,152,123,146,308,331,295,"-50.2","50.2","75.19456255","8.11487596"
1021,518692,"Freeman, Freddie",2020,1021,100,0.341,0.299,0.366,0.64,0.456,0.466,0.343,73,214,92.4,17.2,2171,88.7,88.96,99,492,529,0.29999999999999716,6.44,116,160,139,148,297,323,301,"-34.9","34.9",,
2906,592450,"Judge, Aaron",2022,2906,100,0.311,0.375,0.34,0.686,0.458,0.463,0.305,177,570,95.9,14.9,2247,88.8,88.85,370,1240,1666,0.10000000000000853,6.37,106,153,122,147,310,331,295,"-82.5","82.5",,
2195,670541,"Alvarez, Yordan",2022,2195,100,0.306,0.306,0.32,0.613,0.427,0.462,0.329,144,470,95.2,12.2,2220,89.1,89.07,219,937,1258,0,6.35,117,168,136,154,293,331,304,"-42","42",,
1901,592450,"Judge, Aaron",2023,1901,100,0.267,0.346,0.3,0.613,0.42,0.461,0.289,98,367,97.6,20.4,2270,88.9,89.11,287,785,1116,0.19999999999998863,6.49,107,152,124,146,309,332,294,"-45","45",,
2782,660670,"Acuña Jr., Ronald",2023,2782,100,0.337,0.258,0.338,0.596,0.428,0.46,0.357,217,643,94.7,7.4,2238,89.6,90.02,241,1286,1496,0.4000000000000057,6.48,110,152,122,147,312,330,300,"-66.6","66.6",,
2509,545361,"Trout, Mike",2019,2509,100,0.291,0.353,0.298,0.645,0.436,0.46,0.31,137,470,90.9,22.2,2281,89.2,88.73,177,923,1586,-0.5,5.93,105,152,121,145,309,328,300,"-63.6","63.6",,
1693,660271,"Ohtani, Shohei",2024,1693,100,0.316,0.319,0.351,0.635,0.433,0.458,0.335,117,370,95.3,13.1,2199,89.4,89.68,227,788,905,0.29999999999999716,6.41,117,146,128,152,300,325,306,"-33","33","74.154030258","7.651685115"
1783,665742,"Soto, Juan",2024,1783,100,0.296,0.264,0.308,0.56,0.423,0.456,0.313,101,341,94.1,9.5,2256,88.9,89.12,149,660,1123,0.19999999999998863,6.46,116,146,124,151,295,328,301,"-39.7","39.7","73.089824283","7.212336577"
973,547180,"Harper, Bryce",2020,973,100,0.268,0.274,0.279,0.542,0.4,0.454,0.308,51,190,90.3,14,2214,88.6,88.66,128,447,526,0.10000000000000853,6.34,114,154,130,147,296,325,298,"-13.1","13.1",,
