team,year,close_games,close_win_pct,runs_scored,runs_allowed,run_diff
HOU,2015,50,0.42,729,618,111
TEX,2015,49,0.5510204081632653,751,733,18
LAA,2015,52,0.6730769230769231,661,675,-14
OAK,2015,54,0.35185185185185186,694,729,-35
SEA,2015,57,0.49122807017543857,656,726,-70
KC,2015,40,0.575,724,641,83
DET,2015,48,0.5416666666666666,689,803,-114
CLE,2015,33,0.45454545454545453,669,640,29
MIN,2015,41,0.5121951219512195,696,700,-4
CWS,2015,59,0.4915254237288136,622,701,-79
NYY,2015,47,0.48936170212765956,764,698,66
BOS,2015,39,0.5128205128205128,748,753,-5
TB,2015,56,0.4642857142857143,644,642,2
TOR,2015,43,0.3488372093023256,891,670,221
BAL,2015,51,0.49019607843137253,713,693,20
LAD,2015,49,0.46938775510204084,667,595,72
SD,2015,43,0.5116279069767442,650,731,-81
COL,2015,44,0.45454545454545453,737,844,-107
AZ,2015,44,0.45454545454545453,720,713,7
SF,2015,47,0.40425531914893614,696,627,69
MIL,2015,32,0.5,655,737,-82
PIT,2015,53,0.6792452830188679,697,596,101
STL,2015,55,0.5818181818181818,647,525,122
CIN,2015,47,0.3829787234042553,640,754,-114
CHC,2015,55,0.6181818181818182,689,608,81
NYM,2015,49,0.5102040816326531,683,613,70
ATL,2015,46,0.6086956521739131,573,760,-187
PHI,2015,43,0.37209302325581395,626,809,-183
WSH,2015,44,0.5,703,635,68
MIA,2015,44,0.5227272727272727,613,678,-65
HOU,2016,53,0.5283018867924528,724,701,23
TEX,2016,47,0.7659574468085106,765,757,8
LAA,2016,37,0.4594594594594595,717,727,-10
OAK,2016,53,0.4716981132075472,653,761,-108
SEA,2016,60,0.5,768,707,61
KC,2016,48,0.4791666666666667,675,712,-37
DET,2016,43,0.6046511627906976,750,721,29
CLE,2016,49,0.5714285714285714,777,676,101
MIN,2016,44,0.3409090909090909,722,889,-167
CWS,2016,52,0.4423076923076923,686,715,-29
NYY,2016,36,0.6666666666666666,680,702,-22
BOS,2016,44,0.45454545454545453,878,694,184
TB,2016,40,0.325,672,713,-41
TOR,2016,46,0.45652173913043476,759,666,93
BAL,2016,37,0.5675675675675675,744,715,29
LAD,2016,42,0.5238095238095238,725,638,87
SD,2016,50,0.38,686,770,-84
COL,2016,32,0.375,845,860,-15
AZ,2016,39,0.5641025641025641,752,890,-138
SF,2016,55,0.509090909090909,715,631,84
MIL,2016,51,0.45098039215686275,671,733,-62
PIT,2016,41,0.4878048780487805,729,758,-29
STL,2016,47,0.5106382978723404,779,712,67
CIN,2016,49,0.4489795918367347,716,854,-138
CHC,2016,45,0.4888888888888889,808,556,252
NYM,2016,47,0.5319148936170213,671,617,54
ATL,2016,43,0.4883720930232558,649,779,-130
PHI,2016,51,0.5490196078431373,610,796,-186
WSH,2016,45,0.5777777777777777,763,612,151
MIA,2016,46,0.4782608695652174,655,682,-27
HOU,2017,32,0.59375,896,700,196
TEX,2017,37,0.35135135135135137,799,816,-17
LAA,2017,49,0.5510204081632653,710,709,1
OAK,2017,42,0.5,739,826,-87
SEA,2017,41,0.6341463414634146,750,772,-22
KC,2017,41,0.6097560975609756,702,791,-89
DET,2017,40,0.425,735,894,-159
CLE,2017,35,0.5714285714285714,818,564,254
MIN,2017,33,0.45454545454545453,815,788,27
CWS,2017,44,0.4772727272727273,706,820,-114
NYY,2017,44,0.4090909090909091,858,660,198
BOS,2017,41,0.5365853658536586,785,668,117
TB,2017,45,0.4666666666666667,694,704,-10
TOR,2017,53,0.49056603773584906,693,784,-91
BAL,2017,41,0.5121951219512195,743,841,-98
LAD,2017,44,0.5681818181818182,770,580,190
SD,2017,38,0.5,604,816,-212
COL,2017,35,0.6,824,757,67
AZ,2017,52,0.5576923076923077,812,659,153
SF,2017,47,0.48936170212765956,639,776,-137
MIL,2017,47,0.5319148936170213,732,697,35
PIT,2017,44,0.45454545454545453,668,731,-63
STL,2017,53,0.4528301886792453,761,705,56
CIN,2017,35,0.37142857142857144,753,869,-116
CHC,2017,43,0.6046511627906976,822,695,127
NYM,2017,45,0.4666666666666667,735,863,-128
ATL,2017,43,0.4418604651162791,732,821,-89
PHI,2017,57,0.3684210526315789,690,782,-92
WSH,2017,51,0.5882352941176471,819,672,147
MIA,2017,40,0.45,778,822,-44
HOU,2018,48,0.5,797,534,263
TEX,2018,31,0.3870967741935484,737,848,-111
LAA,2018,41,0.6341463414634146,721,722,-1
OAK,2018,45,0.6888888888888889,813,674,139
SEA,2018,57,0.631578947368421,677,711,-34
KC,2018,49,0.3877551020408163,638,833,-195
DET,2018,52,0.4230769230769231,630,796,-166
CLE,2018,46,0.4782608695652174,818,648,170
MIN,2018,36,0.4166666666666667,738,775,-37
CWS,2018,40,0.375,656,848,-192
NYY,2018,40,0.575,851,669,182
BOS,2018,39,0.6410256410256411,876,647,229
TB,2018,59,0.4745762711864407,716,646,70
TOR,2018,40,0.575,709,832,-123
BAL,2018,41,0.2926829268292683,622,892,-270
LAD,2018,44,0.5,804,610,194
SD,2018,43,0.5116279069767442,617,767,-150
COL,2018,41,0.6341463414634146,780,745,35
AZ,2018,51,0.39215686274509803,693,644,49
SF,2018,56,0.4642857142857143,603,699,-96
MIL,2018,52,0.6346153846153846,754,659,95
PIT,2018,51,0.5686274509803921,692,693,-1
STL,2018,44,0.5,759,691,68
CIN,2018,39,0.2564102564102564,696,819,-123
CHC,2018,51,0.5098039215686274,761,645,116
NYM,2018,42,0.38095238095238093,676,707,-31
ATL,2018,35,0.6571428571428571,759,657,102
PHI,2018,41,0.5609756097560976,677,728,-51
WSH,2018,42,0.42857142857142855,771,682,89
MIA,2018,40,0.475,589,809,-220
HOU,2019,43,0.5581395348837209,920,640,280
TEX,2019,46,0.5434782608695652,810,878,-68
LAA,2019,40,0.45,769,868,-99
OAK,2019,49,0.5510204081632653,845,680,165
SEA,2019,49,0.46938775510204084,758,893,-135
KC,2019,40,0.375,691,869,-178
DET,2019,36,0.3888888888888889,582,915,-333
CLE,2019,31,0.4838709677419355,769,657,112
MIN,2019,35,0.6571428571428571,939,754,185
CWS,2019,32,0.4375,708,832,-124
NYY,2019,37,0.4864864864864865,943,739,204
BOS,2019,45,0.5111111111111111,901,828,73
TB,2019,39,0.5897435897435898,769,656,113
TOR,2019,41,0.43902439024390244,726,828,-102
BAL,2019,33,0.3333333333333333,729,981,-252
LAD,2019,49,0.5510204081632653,886,613,273
SD,2019,50,0.52,682,789,-107
COL,2019,43,0.5116279069767442,835,958,-123
AZ,2019,50,0.48,813,743,70
SF,2019,54,0.7037037037037037,678,773,-95
MIL,2019,45,0.6,769,766,3
PIT,2019,44,0.4318181818181818,758,911,-153
STL,2019,47,0.5319148936170213,764,662,102
CIN,2019,57,0.42105263157894735,701,711,-10
CHC,2019,46,0.41304347826086957,814,717,97
NYM,2019,47,0.5106382978723404,791,737,54
ATL,2019,44,0.6363636363636364,855,743,112
PHI,2019,40,0.5,774,794,-20
WSH,2019,38,0.4473684210526316,873,724,149
MIA,2019,44,0.36363636363636365,615,808,-193
HOU,2020,24,0.4166666666666667,279,275,4
TEX,2020,13,0.5384615384615384,224,312,-88
LAA,2020,18,0.5,294,321,-27
OAK,2020,13,0.5384615384615384,274,232,42
SEA,2020,15,0.4666666666666667,254,303,-49
KC,2020,17,0.47058823529411764,248,272,-24
DET,2020,16,0.4375,249,318,-69
CLE,2020,14,0.5714285714285714,248,209,39
MIN,2020,14,0.6428571428571429,269,215,54
CWS,2020,13,0.38461538461538464,306,246,60
NYY,2020,13,0.46153846153846156,315,270,45
BOS,2020,13,0.3076923076923077,292,351,-59
TB,2020,19,0.7368421052631579,289,229,60
TOR,2020,23,0.5652173913043478,302,312,-10
BAL,2020,19,0.3684210526315789,274,294,-20
LAD,2020,12,0.5833333333333334,349,213,136
SD,2020,16,0.5,325,241,84
COL,2020,17,0.5294117647058824,275,353,-78
AZ,2020,18,0.5,269,295,-26
SF,2020,16,0.5,299,297,2
MIL,2020,16,0.6875,247,264,-17
PIT,2020,23,0.34782608695652173,219,298,-79
STL,2020,13,0.5384615384615384,240,229,11
CIN,2020,15,0.4666666666666667,243,243,0
CHC,2020,19,0.5263157894736842,265,240,25
NYM,2020,17,0.35294117647058826,286,308,-22
ATL,2020,17,0.6470588235294118,348,288,60
PHI,2020,18,0.4444444444444444,306,311,-5
WSH,2020,16,0.4375,293,301,-8
MIA,2020,19,0.5789473684210527,263,304,-41
HOU,2021,40,0.525,863,658,205
TEX,2021,39,0.46153846153846156,625,815,-190
LAA,2021,39,0.6410256410256411,723,804,-81
OAK,2021,50,0.46,743,687,56
SEA,2021,52,0.6346153846153846,697,748,-51
KC,2021,40,0.525,686,788,-102
DET,2021,46,0.5,697,756,-59
CLE,2021,39,0.4358974358974359,717,727,-10
MIN,2021,44,0.5681818181818182,729,834,-105
CWS,2021,42,0.42857142857142855,796,636,160
NYY,2021,48,0.5833333333333334,711,669,42
BOS,2021,44,0.5909090909090909,829,749,80
TB,2021,45,0.4444444444444444,857,651,206
TOR,2021,30,0.5,846,663,183
BAL,2021,37,0.35135135135135137,659,956,-297
LAD,2021,48,0.5,830,561,269
SD,2021,47,0.44680851063829785,729,708,21
COL,2021,49,0.4897959183673469,739,796,-57
AZ,2021,41,0.24390243902439024,679,893,-214
SF,2021,48,0.6458333333333334,804,594,210
MIL,2021,36,0.5833333333333334,738,623,115
PIT,2021,42,0.47619047619047616,609,833,-224
STL,2021,45,0.5777777777777777,706,672,34
CIN,2021,44,0.5454545454545454,786,760,26
CHC,2021,51,0.47058823529411764,705,839,-134
NYM,2021,66,0.4696969696969697,636,668,-32
ATL,2021,57,0.45614035087719296,790,656,134
PHI,2021,55,0.5454545454545454,734,745,-11
