team,year,ops,era
AZ,2015,0.738,4.05
ATL,2015,0.674,4.41
BAL,2015,0.728,4.05
BOS,2015,0.74,4.34
CHC,2015,0.719,3.36
CWS,2015,0.686,3.98
CIN,2015,0.706,4.35
CLE,2015,0.725,3.68
COL,2015,0.748,5.04
DET,2015,0.748,4.64
HOU,2015,0.752,3.57
KC,2015,0.734,3.74
LAA,2015,0.702,3.94
LAD,2015,0.739,3.46
MIA,2015,0.694,4.04
MIL,2015,0.7,4.28
MIN,2015,0.704,4.07
NYM,2015,0.712,3.45
NYY,2015,0.744,4.03
OAK,2015,0.707,4.16
PHI,2015,0.684,4.69
PIT,2015,0.719,3.23
SD,2015,0.685,4.09
SEA,2015,0.722,4.16
SF,2015,0.732,3.73
STL,2015,0.716,2.94
TB,2015,0.72,3.74
TEX,2015,0.739,4.25
TOR,2015,0.797,3.81
WSH,2015,0.724,3.62
AZ,2016,0.752,5.09
ATL,2016,0.705,4.51
BAL,2016,0.76,4.22
BOS,2016,0.81,4.0
CHC,2016,0.772,3.15
CWS,2016,0.727,4.12
CIN,2016,0.724,4.91
CLE,2016,0.759,3.86
COL,2016,0.794,4.92
DET,2016,0.769,4.24
HOU,2016,0.735,4.06
KC,2016,0.712,4.21
LAA,2016,0.726,4.28
LAD,2016,0.728,3.7
MIA,2016,0.716,4.05
MIL,2016,0.729,4.1
MIN,2016,0.738,5.09
NYM,2016,0.733,3.58
NYY,2016,0.72,4.16
OAK,2016,0.699,4.51
PHI,2016,0.685,4.64
PIT,2016,0.734,4.22
SD,2016,0.689,4.44
SEA,2016,0.756,4.0
SF,2016,0.728,3.69
STL,2016,0.768,4.08
TB,2016,0.733,4.2
TEX,2016,0.755,4.38
TOR,2016,0.755,3.79
WSH,2016,0.751,3.52
AZ,2017,0.774,3.67
ATL,2017,0.738,4.72
BAL,2017,0.747,4.97
BOS,2017,0.736,3.73
CHC,2017,0.775,3.95
CWS,2017,0.731,4.78
CIN,2017,0.761,5.17
CLE,2017,0.788,3.3
COL,2017,0.781,4.51
DET,2017,0.748,5.36
HOU,2017,0.823,4.12
KC,2017,0.731,4.63
LAA,2017,0.712,4.2
LAD,2017,0.771,3.38
MIA,2017,0.761,4.82
MIL,2017,0.751,4.0
MIN,2017,0.768,4.6
NYM,2017,0.755,5.01
NYY,2017,0.785,3.75
OAK,2017,0.755,4.67
PHI,2017,0.723,4.57
PIT,2017,0.704,4.23
SD,2017,0.692,4.7
SEA,2017,0.749,4.46
SF,2017,0.689,4.5
STL,2017,0.76,4.01
