away_team,away_score,away_team_xwoba_diff,away_lineup_xwoba,away_team_xfip,away_starter_xfip,away_close_win_pct,away_run_diff,home_team,home_score,home_team_xwoba_diff,home_lineup_xwoba,home_team_xfip,home_starter_xfip,home_close_win_pct,home_run_diff
SF,5,-0.013949999999999999,0.3246884040001084,4.3175,3.6649265262020525,0.48152804642166336,-50.85,AZ,6,0.0029,0.3118532779471491,4.0145,3.477347067238913,0.5438228438228437,58.349999999999994
CHC,3,0.0179,0.31853045946240877,3.9004999999999996,3.5721621836340938,0.5777401926239135,151.35,STL,4,0.02085,0.31311914750374953,3.9985,3.6091176132113474,0.48663041494835957,68.65
NYY,3,0.0218,0.3283051253719327,3.812,3.46008658008658,0.485525467440361,123.2,TB,7,0.0011499999999999998,0.31243154870017936,4.22,3.293424415133257,0.4308928571428571,-15.95
PHI,4,-0.024399999999999998,0.3022120490268889,4.395999999999999,4.798099532398129,0.41412148702810375,-129.14999999999998,CIN,3,-0.0165,0.31757728093211846,4.6145,4.147017555705605,0.39254884932696477,-121.19999999999999
SD,3,-0.026299999999999997,0.2851599126998721,4.265499999999999,4.387310590922067,0.47174418604651164,-160.35,LAD,14,0.044449999999999996,0.3270946473632328,3.657,2.517291741579767,0.542269635126778,146.55
COL,7,-0.01285,0.3163057500197951,4.263,3.5588136977694,0.5219318181818181,20.399999999999995,MIL,5,-0.0092,0.31209601149809824,4.259499999999999,4.914229993116,0.5068940342094284,-6.799999999999999
ATL,0,-0.0131,0.30987755924812554,4.5760000000000005,4.563091734628955,0.47851365015166836,-113.95,NYM,6,0.004549999999999999,0.3256152713725122,4.137,2.645783282869988,0.4895093356491532,-52.8
MIA,2,-0.013099999999999999,0.3304489373395769,4.627,4.596410554747559,0.4679743083003952,-42.9,WSH,4,0.0263,0.3259593562019203,3.964,3.1380117193294765,0.5723856209150326,136.15
TOR,2,0.0112,0.33252658707940225,4.242,4.932603437691835,0.46079563881946684,1.7999999999999972,BAL,3,-0.007549999999999999,0.3282507415442227,4.523,4.0721378708551486,0.5227383768273295,-48.55
PIT,3,-0.0081,0.3235583947885644,4.202,3.709892473118279,0.49656528469229794,-29.9,BOS,5,0.006999999999999999,0.3163253795985146,4.0169999999999995,4.133827509335117,0.5125106600716356,115.45
SEA,0,0.0023,0.3255390954467124,4.425,3.9720824820279987,0.5791720154043646,-8.45,HOU,3,0.027600000000000003,0.3336533892332939,3.7859999999999996,3.2387190022010266,0.5513254716981133,140.0
KC,1,-0.009349999999999999,0.3176071492285212,4.528,4.261933911159264,0.571895325203252,-50.2,MIN,7,-0.017099999999999997,0.3162033962640131,4.5895,4.548893109422897,0.4347838137472283,-26.150000000000002
LAA,2,-0.0099,0.32344654978105347,4.426,4.565294004334217,0.5464386482243625,-4.0,OAK,4,-0.006999999999999999,0.32315387187236716,4.413499999999999,4.442235130035278,0.4707023060796645,-84.44999999999999
CLE,8,0.03065,0.33090727578016793,3.5314999999999994,2.907300739352286,0.5538961038961038,182.0,TEX,5,-0.0109,0.3208873177217018,4.712,3.6780593286307046,0.48495323373742827,-5.5
SF,8,-0.013949999999999999,0.3065482866799867,4.3175,3.9993234192172458,0.48152804642166336,-50.85,AZ,4,0.0029,0.3063294295501137,4.0145,3.8847194535010092,0.5438228438228437,58.349999999999994
SD,4,-0.026299999999999997,0.28411077979993665,4.265499999999999,3.8677386858137504,0.47174418604651164,-160.35,LAD,0,0.044449999999999996,0.3326837723501265,3.657,3.938603969360766,0.542269635126778,146.55
COL,6,-0.01285,0.3198605895436254,4.263,3.968194495074574,0.5219318181818181,20.399999999999995,MIL,5,-0.0092,0.3003313248426326,4.259499999999999,4.213347415421604,0.5068940342094284,-6.799999999999999
CHC,2,0.0179,0.3138128071881018,3.9004999999999996,3.648092673622798,0.5777401926239135,151.35,STL,1,0.02085,0.3241631813119998,3.9985,4.118091134650253,0.48663041494835957,68.65
DET,6,0.00505,0.32899187495495225,4.6535,4.0492770027664955,0.4874127906976744,-105.24999999999999,CWS,3,-0.022699999999999998,0.3097997991367953,4.6725,3.7674404781670265,0.4706693729998815,-87.49999999999999
SEA,1,0.0023,0.3255390954467124,4.425,4.793894580549369,0.5791720154043646,-8.45,HOU,2,0.027600000000000003,0.3370008384526274,3.7859999999999996,3.2156785861076855,0.5513254716981133,140.0
LAA,7,-0.0099,0.31923883590242075,4.426,4.451702211478199,0.5464386482243625,-4.0,OAK,6,-0.006999999999999999,0.32315387187236716,4.413499999999999,4.373551066962958,0.4707023060796645,-84.44999999999999
