"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length"
8831,115,"COL",2020,8831,100,0.28,0.196,0.308,0.477,0.355,0.357,0.28,579,2067,88.9,11.2,2247,89.7,89.8,942,4088,4743,0.09999999999999432,6.12,114,152,117,147,303,329,303,"-69.6","69.6",,
9420,111,"BOS",2020,9420,100,0.281,0.204,0.334,0.484,0.365,0.355,0.268,587,2091,88.5,11.7,2194,88.1,88.19,1118,4308,5111,0.10000000000000853,6.33,109,150,118,147,285,323,292,"-72.4","72.4",,
8631,116,"DET",2020,8631,100,0.265,0.199,0.299,0.464,0.345,0.354,0.27,511,1927,89,12.1,2231,89.5,89.52,1000,4007,4624,0,6.23,109,149,117,145,298,327,289,"-52.7","52.7",,
24765,120,"WSH",2023,24765,100,0.273,0.184,0.306,0.457,0.345,0.351,0.272,1512,5546,88.9,13.1,2139,89.4,89.93,2636,11530,13235,0.5,6.55,115,148,116,147,306,329,305,"-90.8","90.8",,
23866,115,"COL",2023,23866,100,0.288,0.199,0.321,0.487,0.363,0.349,0.27,1599,5555,89,12.7,2244,88.3,88.5,2323,11105,12761,0.20000000000000284,6.24,111,148,123,147,301,330,300,"-247.1","247.1",,
24474,110,"BAL",2021,24474,100,0.273,0.2,0.306,0.473,0.35,0.348,0.267,1518,5562,89.5,14.4,2229,88.3,88.09,2729,11509,12965,-0.20000000000000284,6.2,109,153,119,148,299,323,294,"-231.7","231.7",,
24645,115,"COL",2019,24645,100,0.277,0.215,0.311,0.492,0.351,0.346,0.272,1576,5692,89.7,9.7,2252,89.9,89.51,2772,11639,13002,-0.4000000000000057,5.79,113,152,115,147,308,334,307,"-164.9","164.9",,
25328,110,"BAL",2019,25328,100,0.271,0.226,0.296,0.497,0.351,0.346,0.263,1544,5697,89.3,13.8,2241,88.4,87.77,2778,11867,13461,-0.6000000000000085,5.83,106,153,116,147,301,326,298,"-181.7","181.7",,
8916,109,"AZ",2020,8916,100,0.253,0.209,0.295,0.462,0.339,0.343,0.253,506,2003,89,15.2,2272,88.7,88.67,1013,4026,4890,0,6.35,108,153,119,150,303,331,303,"-16.5","16.5",,
14569,115,"COL",2024,14569,100,0.289,0.168,0.324,0.457,0.354,0.342,0.274,980,3389,88.5,11.2,2198,88.9,89.31,1458,6842,7725,0.3999999999999915,6.35,112,148,121,147,302,330,300,"-132.2","132.2",69.38822063730544,"7.259324457"
24517,118,"KC",2019,24517,100,0.273,0.183,0.312,0.456,0.34,0.342,0.264,1525,5576,89.7,11.8,2188,88.6,88.56,2585,11366,13151,0,6.14,111,150,119,141,302,326,304,"-108.3","108.3",,
8923,120,"WSH",2020,8923,100,0.271,0.195,0.317,0.466,0.346,0.342,0.264,548,2025,88.8,14.4,2199,87.6,87.83,1115,4274,4649,0.20000000000000284,6.4,109,153,123,143,301,317,295,"-33.5","33.5",,
25337,133,"OAK",2023,25337,100,0.266,0.187,0.308,0.453,0.348,0.34,0.254,1464,5506,88.5,15.6,2197,88.9,89.04,2840,11735,13599,0.09999999999999432,6.37,111,147,115,149,298,322,294,"-163.6","163.6",,
8549,146,"MIA",2020,8549,100,0.261,0.194,0.298,0.455,0.341,0.34,0.253,506,1941,88.4,11.1,2234,88.4,88.48,972,4056,4493,0.09999999999999432,6.35,103,151,116,148,300,319,291,"-41.3","41.3",,
24439,116,"DET",2017,24439,100,0.282,0.18,0.321,0.463,0.344,0.339,0.266,1587,5621,87.8,14.3,2257,89.4,88.9,2504,11514,12922,-0.5,6.01,108,152,112,146,298,328,294,"-110.1","110.1",,
25129,110,"BAL",2017,25129,100,0.269,0.188,0.303,0.458,0.341,0.339,0.263,1505,5589,87.8,11.5,2201,88.5,87.73,2630,11498,13624,-0.7999999999999972,5.9,107,153,116,146,301,324,297,"-93.4","93.4",,
24307,118,"KC",2021,24307,100,0.254,0.161,0.302,0.415,0.324,0.339,0.256,1375,5414,89.2,12.4,2285,89.2,89.28,2829,11157,13150,0.09999999999999432,6.25,107,157,116,145,299,323,301,"-72.6","72.6",,
24470,142,"MIN",2016,24470,100,0.283,0.183,0.32,0.466,0.344,0.338,0.269,1617,5722,89.2,11.8,2156,88.1,87.41,2402,11377,13018,-0.6999999999999886,5.93,107,147,111,144,292,314,292,"-163.5","163.5",,
24084,118,"KC",2018,24084,100,0.275,0.171,0.311,0.446,0.339,0.338,0.264,1542,5603,89,12.2,2223,88.6,88.48,2401,11248,12834,-0.09999999999999432,6.14,111,152,111,144,298,321,297,"-122.8","122.8",,
24647,110,"BAL",2018,24647,100,0.276,0.195,0.312,0.471,0.351,0.337,0.261,1552,5625,88.4,12.7,2200,88.7,87.75,2639,11515,13130,-1,5.73,110,154,114,147,292,317,295,"-187.3","187.3",,
24290,138,"STL",2023,24290,100,0.276,0.171,0.321,0.448,0.341,0.337,0.267,1549,5608,89.1,10.3,2263,88.2,88.44,2552,11212,13078,0.20000000000000284,6.43,112,149,118,148,303,317,298,"-84.9","84.9",,
23763,140,"TEX",2018,23763,100,0.271,0.193,0.301,0.464,0.342,0.337,0.265,1516,5597,88.8,12.3,2191,88,87.25,2342,10988,12774,-0.7999999999999972,5.84,108,150,110,147,294,316,294,"-151.6","151.6",,
24573,145,"CWS",2017,24573,100,0.254,0.196,0.282,0.45,0.335,0.337,0.258,1384,5445,87.8,13.4,2154,88,87.87,2358,10977,13595,-0.09999999999999432,6.21,110,151,110,146,294,310,292,"-83","83",,
23798,118,"KC",2023,23798,100,0.263,0.18,0.304,0.442,0.336,0.336,0.26,1429,5442,88.7,13.2,2252,88.2,88.66,2754,11171,12627,0.5,6.51,109,148,118,147,297,326,292,"-130.4","130.4",,
24750,116,"DET",2019,24750,100,0.275,0.204,0.319,0.478,0.344,0.336,0.258,1555,5664,89.4,12.9,2286,88.4,87.84,2870,11676,13070,-0.6000000000000085,5.88,108,149,115,147,298,329,292,"-117.8","117.8",,
23914,116,"DET",2021,23914,100,0.252,0.167,0.29,0.419,0.324,0.334,0.253,1370,5447,89.1,11.9,2138,89.9,90.03,2699,11269,12645,0.09999999999999432,6.32,108,154,118,148,299,327,298,"-4.3","4.3",,
23705,108,"LAA",2016,23705,100,0.269,0.171,0.303,0.44,0.332,0.334,0.262,1480,5495,88.6,13.6,2109,86.4,85.39,2460,11081,12508,-1,5.93,109,150,108,147,303,323,299,"-33.1","33.1",,
24903,113,"CIN",2016,24903,100,0.263,0.193,0.294,0.456,0.344,0.334,0.254,1457,5543,88.2,12.8,2149,89.3,88.91,2584,11438,13336,-0.3999999999999915,6.15,109,147,110,147,291,312,291,"-115.4","115.4",,
24394,120,"WSH",2022,24394,100,0.266,0.186,0.298,0.452,0.344,0.334,0.254,1469,5522,88.7,13.6,2172,88.8,89.05,2591,11392,13000,0.20000000000000284,6.45,112,154,122,146,300,318,297,"-161.6","161.6",,
9026,134,"PIT",2020,9026,100,0.235,0.18,0.281,0.416,0.325,0.334,0.242,451,1918,88,12.6,2367,88,88.38,1112,3953,5072,0.4000000000000057,6.41,108,152,121,148,299,319,296,"-23.1","23.1",,
25074,140,"TEX",2019,25074,100,0.269,0.195,0.314,0.464,0.34,0.334,0.255,1515,5629,88.6,13.3,2289,89.4,88.94,2820,11633,13441,-0.5,5.97,108,153,114,148,294,322,300,"-90.3","90.3",,
24002,136,"SEA",2019,24002,100,0.263,0.206,0.291,0.469,0.332,0.334,0.262,1484,5652,89.3,12.3,2181,86.9,86.31,2598,11184,12813,-0.6000000000000085,5.86,107,153,114,146,297,318,290,"-88.5","88.5",,
13973,141,"TOR",2024,13973,100,0.253,0.173,0.292,0.426,0.324,0.334,0.259,819,3240,89.2,14,2225,89.1,89.43,1545,6616,7355,0.30000000000001137,6.55,110,148,115,147,290,319,292,"-41.1","41.1",69.63821410563371,"7.174730538"
24789,109,"AZ",2016,24789,100,0.275,0.179,0.323,0.454,0.342,0.334,0.261,1563,5693,88.8,10.9,2208,89.4,89.38,2689,11438,13145,0,6.2,110,151,115,148,304,323,302,"-139.4","139.4",,
24926,145,"CWS",2018,24926,100,0.254,0.168,0.293,0.422,0.331,0.333,0.25,1404,5531,88.5,14.6,2143,88.6,88.25,2624,11313,13605,-0.29999999999999716,6.03,109,149,111,147,293,313,293,"-137.4","137.4",,
23490,142,"MIN",2017,23490,100,0.266,0.18,0.298,0.446,0.33,0.333,0.262,1487,5587,87.7,12.8,2188,88.1,87.6,2370,11115,12371,-0.5,6.07,106,148,113,146,291,314,290,"-28.3","28.3",,
23828,109,"AZ",2021,23828,100,0.267,0.201,0.303,0.468,0.343,0.333,0.256,1480,5546,88.2,13.6,2207,88.2,88.01,2454,11255,12569,-0.20000000000000284,6.2,110,152,118,150,299,327,298,"-159.9","159.9",,
24447,118,"KC",2022,24447,100,0.271,0.153,0.314,0.425,0.337,0.333,0.26,1493,5505,88.8,11.1,2250,88.7,88.88,2668,11373,13074,0.20000000000000284,6.36,108,155,117,148,301,324,301,"-134.2","134.2",,
24045,134,"PIT",2021,24045,100,0.26,0.186,0.304,0.446,0.338,0.332,0.251,1400,5379,88.1,13,2285,88.4,88.52,2835,11312,12733,0.09999999999999432,6.33,110,151,119,148,301,321,291,"-117.9","117.9",,
